"","premisetype","offence","occurrenceyear","occurrencemonth","occurrenceday","occurrencedayofyear","occurrencedayofweek","occurrencehour","Division","Hood_ID","Neighbourhood","Lat","Long","occurrence_ts","ppl_2016","annual_growth_rate","children_2016","youth_2016","working_2016","pre-retirement_2016","seniors_2016","older_2016","ppl_2017","children_2017","youth_2017","working_2017","pre.retirement_2017","seniors_2017","older_2017","ppl_2018","children_2018","youth_2018","working_2018","pre.retirement_2018","seniors_2018","older_2018","ppl_2019","children_2019","youth_2019","working_2019","pre.retirement_2019","seniors_2019","older_2019"
"53","Apartment","Theft Of Motor Vehicle",2016,9,18,262,"Sunday",9,"D14",82,"Niagara (82)",43.6439819,-79.4200058,2016-09-18 09:05:00,31180,0.466,2055,2415,23320,1885,1510,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Apartment","Theft Of Motor Vehicle",2016,9,24,268,"Saturday",15,"D41",126,"Dorset Park (126)",43.7694244,-79.2822571,2016-09-24 15:45:00,25003,0.026,4250,3155,10485,3330,3780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Apartment","Theft Of Motor Vehicle",2016,10,3,277,"Monday",18,"D32",34,"Bathurst Manor (34)",43.7577782,-79.4390411,2016-10-03 18:00:00,15873,0.028,2325,1940,6655,2030,2940,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Apartment","Theft Of Motor Vehicle",2016,10,7,281,"Friday",0,"D23",1,"West Humber-Clairville (1)",43.7265434,-79.584465,2016-10-07 00:30:00,33312,-0.023,5060,5445,13845,3990,4980,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Apartment","Theft Of Motor Vehicle",2016,10,15,289,"Saturday",19,"D33",43,"Victoria Village (43)",43.7273254,-79.3187408,2016-10-15 19:00:00,17510,0.019,2630,2030,7170,2270,3405,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Apartment","Theft Of Motor Vehicle",2016,10,17,291,"Monday",18,"D31",24,"Black Creek (24)",43.7729988,-79.52285,2016-10-17 18:40:00,21737,-0.015,4600,3290,8525,2425,2870,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Apartment","Theft Of Motor Vehicle",2016,10,19,293,"Wednesday",21,"D32",37,"Willowdale West (37)",43.7692757,-79.4129028,2016-10-19 21:45:00,16936,0.129,1785,2230,7480,2070,3370,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Apartment","Theft Of Motor Vehicle",2016,10,21,295,"Friday",13,"D43",139,"Scarborough Village (139)",43.7450218,-79.219696,2016-10-21 13:00:00,16724,0.007,3365,2360,6685,2095,2225,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Apartment","Theft Of Motor Vehicle",2016,10,23,297,"Sunday",18,"D43",138,"Eglinton East (138)",43.7399254,-79.2455292,2016-10-23 18:00:00,22776,-0.002,4180,3130,9180,2825,3505,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Apartment","Theft Of Motor Vehicle",2016,10,26,300,"Wednesday",23,"D43",127,"Bendale (127)",43.7743988,-79.2535477,2016-10-26 23:29:00,29960,0.075,4550,4605,12050,3535,5250,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Apartment","Theft Of Motor Vehicle",2016,10,31,305,"Monday",1,"D41",124,"Kennedy Park (124)",43.7274628,-79.2526016,2016-10-31 01:00:00,17123,0.004,2775,2175,7120,2510,2550,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Apartment","Theft Of Motor Vehicle",2016,10,31,305,"Monday",1,"D41",124,"Kennedy Park (124)",43.7274628,-79.2526016,2016-10-31 01:00:00,17123,0.004,2775,2175,7120,2510,2550,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Apartment","Theft Of Motor Vehicle",2016,11,1,306,"Tuesday",0,"D52",77,"Waterfront Communities-The Island (77)",43.6434212,-79.3912811,2016-11-01 00:01:00,65913,0.52,3650,7840,45105,4680,4635,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Apartment","Theft Of Motor Vehicle",2016,11,6,311,"Sunday",23,"D55",62,"East End-Danforth (62)",43.6884499,-79.3005447,2016-11-06 23:00:00,21381,0.026,3735,2210,9990,2805,2650,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Apartment","Theft Of Motor Vehicle",2016,11,9,314,"Wednesday",17,"D55",62,"East End-Danforth (62)",43.6876793,-79.3015976,2016-11-09 17:00:00,21381,0.026,3735,2210,9990,2805,2650,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Apartment","Theft Of Motor Vehicle",2016,11,12,317,"Saturday",8,"D13",32,"Englemount-Lawrence (32)",43.7136002,-79.4400787,2016-11-12 08:59:00,22372,0.013,4805,3030,8385,2430,3725,955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Apartment","Theft Of Motor Vehicle",2016,11,18,323,"Friday",11,"D14",82,"Niagara (82)",43.6361694,-79.4054108,2016-11-18 11:25:00,31180,0.466,2055,2415,23320,1885,1510,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Apartment","Theft Of Motor Vehicle",2016,11,26,331,"Saturday",14,"D43",136,"West Hill (136)",43.7666092,-79.1856613,2016-11-26 14:00:00,27392,0.032,4635,3950,10765,3785,4240,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Apartment","Theft Of Motor Vehicle",2016,11,29,334,"Tuesday",22,"D23",7,"Willowridge-Martingrove-Richview (7)",43.6789398,-79.551712,2016-11-29 22:00:00,22156,0.038,3555,2625,8140,2905,4905,885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Apartment","Theft Of Motor Vehicle",2016,12,15,350,"Thursday",7,"D32",26,"Downsview-Roding-CFB (26)",43.7332649,-79.463623,2016-12-15 07:28:00,35052,0.011,5725,4340,15045,4380,5535,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Apartment","Theft Of Motor Vehicle",2017,1,11,11,"Wednesday",18,"D13",31,"Yorkdale-Glen Park (31)",43.7064323,-79.4653091,2017-01-11 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,14922,1976,1885,5907,1824,3321,781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Apartment","Theft Of Motor Vehicle",2017,1,22,22,"Sunday",17,"D22",17,"Mimico (includes Humber Bay Shores) (17)",43.6251068,-79.4895172,2017-01-22 17:30:00,NA,NA,NA,NA,NA,NA,NA,NA,43474,4486,3853,22650,5914,6605,723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Apartment","Theft Of Motor Vehicle",2017,2,1,32,"Wednesday",0,"D11",90,"Junction Area (90)",43.6630096,-79.4810638,2017-02-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,14711,2243,1500,7649,1792,1536,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Apartment","Theft Of Motor Vehicle",2017,2,4,35,"Saturday",13,"D12",111,"Rockcliffe-Smythe (111)",43.6716728,-79.4937515,2017-02-04 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,22224,3501,2737,9246,3087,3651,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
