"IDNgrid","IDgrid","n"
"254","(43.66,43.666].(-79.48,-79.47]",53
"255","(43.666,43.673].(-79.48,-79.47]",34
"256","(43.673,43.68].(-79.48,-79.47]",49
"257","(43.68,43.686].(-79.48,-79.47]",67
"258","(43.686,43.693].(-79.48,-79.47]",26
"259","(43.693,43.699].(-79.48,-79.47]",36
"26","(43.706,43.712].(-79.6,-79.59]",28
"260","(43.699,43.706].(-79.48,-79.47]",33
"261","(43.706,43.712].(-79.48,-79.47]",42
"262","(43.712,43.719].(-79.48,-79.47]",20
"263","(43.719,43.726].(-79.48,-79.47]",28
"264","(43.726,43.732].(-79.48,-79.47]",39
"265","(43.732,43.739].(-79.48,-79.47]",15
"266","(43.745,43.752].(-79.48,-79.47]",15
"267","(43.752,43.759].(-79.48,-79.47]",25
"268","(43.759,43.765].(-79.48,-79.47]",56
"269","(43.765,43.772].(-79.48,-79.47]",7
"27","(43.712,43.719].(-79.6,-79.59]",165
"270","(43.772,43.778].(-79.48,-79.47]",38
"271","(43.778,43.785].(-79.48,-79.47]",15
"272","(43.785,43.792].(-79.48,-79.47]",6
"273","(43.633,43.64].(-79.47,-79.46]",12
"274","(43.64,43.647].(-79.47,-79.46]",2
"275","(43.647,43.653].(-79.47,-79.46]",3
"276","(43.653,43.66].(-79.47,-79.46]",26
"277","(43.66,43.666].(-79.47,-79.46]",32
"278","(43.666,43.673].(-79.47,-79.46]",35
"279","(43.673,43.68].(-79.47,-79.46]",44
"28","(43.719,43.726].(-79.6,-79.59]",32
"280","(43.68,43.686].(-79.47,-79.46]",61
"281","(43.686,43.693].(-79.47,-79.46]",39
"282","(43.693,43.699].(-79.47,-79.46]",21
"283","(43.699,43.706].(-79.47,-79.46]",33
"284","(43.706,43.712].(-79.47,-79.46]",34
"285","(43.712,43.719].(-79.47,-79.46]",16
"286","(43.719,43.726].(-79.47,-79.46]",34
"287","(43.726,43.732].(-79.47,-79.46]",29
"288","(43.732,43.739].(-79.47,-79.46]",7
"289","(43.745,43.752].(-79.47,-79.46]",39
"29","(43.726,43.732].(-79.6,-79.59]",34
"290","(43.752,43.759].(-79.47,-79.46]",10
"291","(43.759,43.765].(-79.47,-79.46]",26
"292","(43.765,43.772].(-79.47,-79.46]",53
"293","(43.772,43.778].(-79.47,-79.46]",10
"294","(43.778,43.785].(-79.47,-79.46]",8
"295","(43.785,43.792].(-79.47,-79.46]",16
"296","(43.633,43.64].(-79.46,-79.45]",13
"297","(43.64,43.647].(-79.46,-79.45]",17
"298","(43.647,43.653].(-79.46,-79.45]",21
"299","(43.653,43.66].(-79.46,-79.45]",29
"3","(43.726,43.732].(-79.63,-79.61]",57
"30","(43.732,43.739].(-79.6,-79.59]",55
"300","(43.66,43.666].(-79.46,-79.45]",28
"301","(43.666,43.673].(-79.46,-79.45]",37
"302","(43.673,43.68].(-79.46,-79.45]",29
"303","(43.68,43.686].(-79.46,-79.45]",30
"304","(43.686,43.693].(-79.46,-79.45]",14
"305","(43.693,43.699].(-79.46,-79.45]",60
"306","(43.699,43.706].(-79.46,-79.45]",25
"307","(43.706,43.712].(-79.46,-79.45]",17
"308","(43.712,43.719].(-79.46,-79.45]",45
"309","(43.719,43.726].(-79.46,-79.45]",106
"31","(43.739,43.745].(-79.6,-79.59]",117
"310","(43.726,43.732].(-79.46,-79.45]",10
"311","(43.732,43.739].(-79.46,-79.45]",96
"312","(43.739,43.745].(-79.46,-79.45]",14
"313","(43.745,43.752].(-79.46,-79.45]",25
"314","(43.752,43.759].(-79.46,-79.45]",29
"315","(43.759,43.765].(-79.46,-79.45]",30
"316","(43.765,43.772].(-79.46,-79.45]",14
"317","(43.772,43.778].(-79.46,-79.45]",20
"318","(43.778,43.785].(-79.46,-79.45]",52
"319","(43.785,43.792].(-79.46,-79.45]",40
"32","(43.745,43.752].(-79.6,-79.59]",38
"320","(43.792,43.798].(-79.46,-79.45]",1
"321","(43.627,43.633].(-79.45,-79.43]",1
"322","(43.633,43.64].(-79.45,-79.43]",65
"323","(43.64,43.647].(-79.45,-79.43]",40
"324","(43.647,43.653].(-79.45,-79.43]",33
"325","(43.653,43.66].(-79.45,-79.43]",33
"326","(43.66,43.666].(-79.45,-79.43]",50
"327","(43.666,43.673].(-79.45,-79.43]",40
"328","(43.673,43.68].(-79.45,-79.43]",36
"329","(43.68,43.686].(-79.45,-79.43]",33
