"IDNgrid","Division","n"
"671","D41",23
"672","D41",21
"673","D41",6
"674","D42",11
"675","D42",14
"676","D42",3
"677","D42",19
"678","D42",31
"679","D42",25
"68","D23",20
"680","D42",24
"681","D42",27
"682","D42",9
"683","D41",3
"684","D41",20
"685","D41",18
"686","D41",13
"687","D41",18
"688","D41",26
"689","D41",19
"69","D23",38
"690","D41",59
"691","D41",6
"692","D41",29
"692","D43",2
"693","D41",45
"693","D43",7
"694","D41",7
"694","D43",1
"695","D41",13
"695","D43",9
"696","D41",4
"696","D43",115
"697","D42",6
"698","D42",35
"699","D42",15
"7","D23",48
"70","D23",97
"700","D42",12
"701","D42",29
"702","D42",10
"703","D42",25
"704","D42",11
"705","D42",7
"706","D41",7
"707","D41",18
"708","D41",6
"709","D41",8
"709","D43",1
"71","D23",59
"710","D41",17
"710","D43",5
"711","D41",22
"711","D43",16
"712","D41",5
"712","D43",13
"713","D41",1
"713","D43",13
"714","D43",13
"715","D43",5
"716","D43",13
"717","D43",32
"718","D43",13
"719","D42",13
"72","D23",47
"720","D42",28
"721","D42",1
"722","D42",3
"723","D42",16
"724","D42",41
"725","D42",7
"726","D42",23
"727","D41",13
"728","D41",3
"728","D43",8
"729","D43",19
"73","D23",36
"730","D43",9
"731","D43",11
"732","D43",40
"733","D43",12
"734","D43",17
"735","D43",19
"736","D43",9
"737","D43",26
"738","D43",24
"739","D42",8
"74","D23",32
"740","D42",20
"741","D42",11
"742","D42",27
"743","D42",23
"744","D42",13
"745","D42",12
"746","D42",6
"747","D42",3
"748","D43",3
"749","D43",15
"75","D23",31
"750","D43",54
"751","D43",14
"752","D43",9
"753","D43",20
"754","D43",9
"755","D43",5
"756","D43",2
"757","D43",4
"758","D42",16
"759","D42",25
"76","D23",2
"76","D31",49
"760","D42",31
"761","D42",24
"762","D42",13
"763","D42",6
"764","D42",2
"765","D43",1
"766","D43",17
"767","D43",16
"768","D43",1
"769","D43",34
"77","D31",69
"770","D43",5
"771","D43",6
"772","D43",13
"773","D43",19
"774","D42",15
"774","D43",7
"775","D42",28
"776","D42",15
"777","D42",23
"778","D42",21
"779","D42",1
"78","D31",78
"780","D42",1
"781","D43",3
"782","D43",2
"783","D43",30
"784","D43",29
"785","D43",16
"786","D43",2
"787","D43",6
"788","D43",7
"789","D42",1
"789","D43",8
"79","D31",6
"790","D42",10
"791","D42",4
"792","D42",2
"793","D42",2
"794","D42",1
"795","D43",15
"796","D43",19
"797","D43",13
"798","D43",4
"799","D43",11
"8","D22",10
"80","D22",3
"800","D43",25
"801","D42",19
"802","D42",24
"803","D42",1
"804","D42",1
"805","D43",3
"806","D43",2
"807","D43",10
"808","D43",16
"809","D43",9
"81","D22",5
"810","D43",16
"811","D42",5
"811","D43",1
"812","D42",25
"813","D42",1
"814","D43",8
"815","D43",3
"816","D43",2
"817","D43",12
"818","D42",2
"818","D43",21
"819","D42",12
"82","D22",33
"820","D42",1
"821","D43",7
"822","D43",4
"823","D43",8
"824","D42",1
"824","D43",8
"825","D42",4
"826","D43",33
"827","D43",8
"828","D43",3
"829","D43",1
"83","D22",41
"84","D22",21
"85","D22",23
"86","D22",19
"87","D22",27
"88","D22",14
"89","D22",27
"9","D23",33
"90","D22",11
"91","D22",16
"92","D22",27
"92","D23",21
"93","D23",31
"94","D23",29
"95","D23",75
"96","D23",39
"97","D23",11
"98","D23",84
"99","D23",31
