"premisetype","offence","occurrenceyear","occurrencemonth","occurrenceday","occurrencedayofyear","occurrencedayofweek","occurrencehour","Division","Hood_ID","Neighbourhood","Lat","Long","occurrence_ts","weather","hmdx","hmdx_flag","pressure","pressure_flag","rel_hum","rel_hum_flag","temp","temp_dew","temp_dew_flag","temp_flag","visib","visib_flag","wind_chill","wind_chill_flag","wind_dir","wind_dir_flag","wind_spd","wind_spd_flag","annual_growth_rate","current_ppl","current_children_ppl","current_youth_ppl","current_working_ppl","current_pre_retirement_ppl","current_seniors_ppl","current_older_ppl"
"Outside","Theft Of Motor Vehicle",2016,1,5,5,"Tuesday",20,"D32",26,"Downsview-Roding-CFB (26)",43.7463875,-79.4820404,2016-01-05 20:40:00,NA,NA,NA,101.87,NA,70,NA,-3,-7.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.011,35052,5725,4340,15045,4380,5535,870
"House","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",1,"D12",111,"Rockcliffe-Smythe (111)",43.6776886,-79.5050049,2016-01-06 01:00:00,NA,NA,NA,101.64,NA,69,NA,-3.3,-8.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.001,22246,3505,2740,9255,3090,3655,480
"Outside","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",1,"D23",2,"Mount Olive-Silverstone-Jamestown (2)",43.7390823,-79.5928192,2016-01-06 01:30:00,NA,NA,NA,101.64,NA,69,NA,-3.3,-8.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.005,32954,7090,5240,13615,3475,3560,300
"Outside","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",2,"D31",27,"York University Heights (27)",43.757988,-79.4972076,2016-01-06 02:35:00,NA,NA,NA,101.66,NA,68,NA,-3.2,-8.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.004,27593,4045,4750,12290,2965,3530,400
"Outside","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",9,"D11",90,"Junction Area (90)",43.6696167,-79.4807968,2016-01-06 09:40:00,NA,NA,NA,101.58,NA,64,NA,-2,-8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.024,14366,2190,1465,7470,1750,1500,175
"Outside","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",11,"D23",1,"West Humber-Clairville (1)",43.7106895,-79.6113205,2016-01-06 11:00:00,NA,NA,NA,101.55,NA,49,NA,0.2,-9.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,33312,5060,5445,13845,3990,4980,615
"Outside","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",11,"D33",47,"Don Valley Village (47)",43.7758369,-79.3437195,2016-01-06 11:30:00,NA,NA,NA,101.55,NA,49,NA,0.2,-9.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.012,27051,4065,3280,11860,3145,4700,665
"Outside","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",16,"D22",14,"Islington-City Centre West (14)",43.6460609,-79.5312042,2016-01-06 16:00:00,NA,NA,NA,101.22,NA,43,NA,2,-9.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.154,43965,5820,4695,20640,5400,7405,1480
"Outside","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",17,"D23",9,"Edenbridge-Humber Valley (9)",43.6855164,-79.5124817,2016-01-06 17:00:00,NA,NA,NA,101.2,NA,50,NA,1.4,-7.9,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.04,15535,2120,1805,5940,2385,3290,665
"Outside","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",18,"D14",78,"Kensington-Chinatown (78)",43.6492729,-79.4011688,2016-01-06 18:00:00,NA,NA,NA,101.2,NA,52,NA,1.4,-7.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.03,17945,1315,3350,8760,1795,2705,480
